datetime,precip,tmin,tmax
1/13/2010,0,6.5,23.6
1/14/2010,0,7,22.5
1/15/2010,0,7,22
1/16/2010,1.17083556305578,7,23.5
1/17/2010,0,7.5,26.5
1/18/2010,0,7.8,26
1/19/2010,0,7,26.5
1/20/2010,0,7.8,26.5
1/21/2010,0,7.4,26
1/22/2010,0,8.5,25
1/23/2010,0,8,27
1/24/2010,0,8,25.2
1/25/2010,0.129876518304864,8.5,28
1/26/2010,0,7.5,26.5
1/27/2010,0,7.4,26
1/28/2010,0,7.5,23.4
1/29/2010,0.399370293787456,8.4,23.4
1/30/2010,0,9,23.5
1/31/2010,0,9.5,22.5
2/1/2010,0.0561674159430982,9,25
2/2/2010,0,8,24.5
2/3/2010,0,8,23.8
2/4/2010,0,8,23
2/5/2010,0,8.5,21.5
2/6/2010,0,9.5,21.8
2/7/2010,0,10,21.5
2/8/2010,0,12,22
2/9/2010,10.8057122759253,12.7,22
2/10/2010,20.1246109456533,9.5,16
2/11/2010,6.21670362355282,8.8,21.5
2/12/2010,3.05131974981195,10,24.5
2/13/2010,0,13.1,19.3
2/14/2010,0,9.5,23.2
2/15/2010,0,9.6,23.5
2/16/2010,0,10,25.5
2/17/2010,0,11.5,24.5
2/18/2010,0,10.5,26
2/19/2010,0.587691288342342,9,23.5
2/20/2010,0,11.5,24.5
2/21/2010,0,11,23.5
2/22/2010,0,9,23.4
2/23/2010,0.0459551584988984,12.5,23.5
2/24/2010,5.0732840325684,9.5,24
2/25/2010,0,11,25.5
2/26/2010,0,12.5,26
2/27/2010,0,12.7,26
2/28/2010,0,14.6,27
3/1/2010,5.58807882367533,17.2,29.5
3/2/2010,5.23600439397912,13,26.6
3/3/2010,0,14,27.7
3/4/2010,0,17.5,27.7
3/5/2010,0.23198340329303,14,28.5
3/6/2010,0.389629554914592,13,28.8
3/7/2010,0,14,28.2
3/8/2010,0,12.5,29.5
3/9/2010,0.0170204290736661,13.5,29.6
3/10/2010,0,13,29.1
3/11/2010,0,14.5,28.6
3/12/2010,0,13,29.6
3/13/2010,1.47773843539269,12.2,27.5
3/14/2010,0.513326050899691,13.6,28.4
3/15/2010,13.5321296010153,15.1,28.6
3/16/2010,0,15.5,29
3/17/2010,0,15.5,31.2
3/18/2010,0,17,33
3/19/2010,0.357160425338376,17,34.7
3/20/2010,0,17.8,34.2
3/21/2010,0,19,32.5
3/22/2010,0.386639005488383,20.2,31
3/23/2010,0,19.5,33.2
3/24/2010,0,19.5,33.7
3/25/2010,0,20.2,34.1
3/26/2010,0,17.5,33.5
3/27/2010,0.666721132347385,16.2,33
3/28/2010,2.72029031420502,17,32.5
3/29/2010,0.129876518304864,19,31
3/30/2010,12.6362075275918,16.4,27.2
3/31/2010,28.9386395191004,16.5,31.5
4/1/2010,5.09174475392338,13.5,31
4/2/2010,0,13,33.5
4/3/2010,0,17,36
4/4/2010,0,18.2,33.3
4/5/2010,0,18.5,34.6
4/6/2010,0,18.2,32.5
4/7/2010,0,18,33.2
4/8/2010,0,19.5,32.8
4/9/2010,0.357160425338376,19.5,33.2
4/10/2010,4.02104565707918,21,33.5
4/11/2010,0,18,34.2
4/12/2010,0,20.5,36.5
4/13/2010,0,19.5,35.2
4/14/2010,1.62388382305121,19,33.9
4/15/2010,0.259753036609728,19.5,36.2
4/16/2010,0.363654251253619,20,34
4/17/2010,98.3019660966943,20,32.6
4/18/2010,5.65176038944878,19.5,30.2
4/19/2010,60.2105673626542,19,33.6
4/20/2010,17.0974915088969,20.5,33.5
4/21/2010,6.03156848561878,17,34.8
4/22/2010,1.39348716462021,18.5,34.5
4/23/2010,0,20.5,34.2
4/24/2010,0.262922106532114,20.2,34.6
4/25/2010,4.86405897084412,18.4,32.2
4/26/2010,0.278380083951636,20.5,33.1
4/27/2010,3.28652633165143,17.5,31.7
4/28/2010,7.55721136154187,20.1,30
4/29/2010,0.389629554914592,22.4,31
4/30/2010,2.71133556041599,16.5,30.5
5/1/2010,3.17548618700912,21,31.9
5/2/2010,3.11249627983857,18.5,30.7
5/3/2010,0.389629554914592,18.2,32
5/4/2010,0,19.5,33.4
5/5/2010,0,19.5,33.4
5/6/2010,26.2447242541065,19.5,29
5/7/2010,18.8104616327382,19,29
5/8/2010,0.0390613926761132,19.5,29
5/9/2010,7.76508676205794,17.5,30.5
5/10/2010,0.0621431247119983,19.5,32
5/11/2010,0.422098684490808,20,32.5
5/12/2010,3.38533421009301,18.8,33
5/13/2010,0.0621431247119983,19.5,34
5/14/2010,1.57753263919269,19,34.5
5/15/2010,1.23724481756283,18.1,32.5
5/16/2010,0,19.5,33.5
5/17/2010,0,20.5,33.2
5/18/2010,41.4068120295384,20.5,30.5
5/19/2010,18.590555378298,21.5,31.5
5/20/2010,43.9266690250533,18.5,32.5
5/21/2010,23.7622551829909,16.5,34
5/22/2010,12.6139486038915,19.5,32.5
5/23/2010,3.02189954623477,20.5,31
5/24/2010,0.87837544539114,19.5,29.2
5/25/2010,2.38623241517181,18.5,30.5
5/26/2010,40.4048766635497,20,27.5
5/27/2010,2.41466814402078,18.5,30.6
5/28/2010,47.6044708441821,18.5,31
5/29/2010,6.54603519344824,18.5,31.6
5/30/2010,1.86269294122511,20.5,32.5
5/31/2010,2.11883482967644,18,35.5
6/1/2010,0.292222166185944,19.5,32.5
6/2/2010,0.259753036609728,19.5,32
6/3/2010,0.298715992101187,20,32.5
6/4/2010,1.74137079941083,20.5,33
6/5/2010,43.3042065021747,19.5,34
6/6/2010,13.2615021901402,19.5,31
6/7/2010,0,19.5,31.5
6/8/2010,0.798296974810761,20.3,34.7
6/9/2010,0,21.5,34
6/10/2010,0,22.5,33
6/11/2010,0,20.5,33.6
6/12/2010,2.66007635776007,20,34.5
6/13/2010,1.57753263919269,21,32.5
6/14/2010,1.70899369245874,19.5,33
6/15/2010,26.3556396475653,20.5,32.5
6/16/2010,3.08357141753014,22,32.5
6/17/2010,24.9104864071918,21.5,31
6/18/2010,11.4854688517414,21,31.5
6/19/2010,5.36657972737881,24.7,32.7
6/20/2010,71.5084565545707,21.5,31.5
6/21/2010,5.1654971133248,22,29.5
6/22/2010,92.2533574506393,22.5,32.6
6/23/2010,0.784012714712763,22.3,30.5
6/24/2010,19.4902900682671,21.3,32
6/25/2010,12.9712452592493,21.8,32
6/26/2010,24.6512399463324,22.1,33.5
6/27/2010,35.6668500605366,22.5,31.5
6/28/2010,73.4401300108552,21,30.5
6/29/2010,6.82685994834155,21.8,31.6
6/30/2010,10.4815660887637,22.3,30.5
7/1/2010,39.0669911631573,21.8,30.5
7/2/2010,54.8122253594011,21.2,31.8
7/3/2010,26.6806857316746,21.2,30.9
7/4/2010,0.953737887175155,22.3,32.4
7/5/2010,34.1722319515265,21.2,31.7
7/6/2010,28.0628011885478,22,30.9
7/7/2010,7.29204576611097,22,30.4
7/8/2010,0.2905754923072,22,31.3
7/9/2010,7.46522309845991,22.5,27.9
7/10/2010,82.0026957954343,22.5,27.8
7/11/2010,77.6554934264481,22,27.5
7/12/2010,1.1429190206295,22,28.4
7/13/2010,18.4537971582111,21.5,30.8
7/14/2010,22.6275362642972,22.5,32.1
7/15/2010,14.6210831887261,22.9,29.9
7/16/2010,26.9051876357045,22.9,27.3
7/17/2010,11.1341643079272,21.6,28.7
7/18/2010,15.4540117747701,22.2,30.2
7/19/2010,52.3411919509811,22.9,26.8
7/20/2010,18.4073038526392,21.5,30.7
7/21/2010,12.2550304938544,22.3,30.3
7/22/2010,48.6963553463692,22,30.7
7/23/2010,2.35999320819224,22.5,29.3
7/24/2010,10.5012822106648,22.5,31.7
7/25/2010,39.6577195348654,22.8,32.8
7/26/2010,13.2456287059915,21.8,32.5
7/27/2010,30.8385643628103,22,27.2
7/28/2010,1.11725377514074,21,32
7/29/2010,79.4630822977677,22.6,30.8
7/30/2010,80.1156101776331,21.3,30.2
7/31/2010,23.2840545606336,20.9,30.6
8/1/2010,0.563168524970433,22.2,32.2
8/2/2010,1.72898125746558,22.8,30.5
8/3/2010,22.3450605392079,21.5,30.8
8/4/2010,27.3891212603617,22.5,31.2
8/5/2010,17.705688764798,22,32
8/6/2010,17.9574499395192,22,31.2
8/7/2010,18.6549371295115,22,31.3
8/8/2010,9.31346528760268,22.8,31.5
8/9/2010,20.1201613425455,22.5,31
8/10/2010,0.582991792082824,22.8,31.5
8/11/2010,10.178226635755,23,30.5
8/12/2010,14.013593628511,21.5,31
8/13/2010,12.6098361630548,22.5,29.2
8/14/2010,23.990489338022,22,32.4
8/15/2010,30.6980828380391,22.5,30.5
8/16/2010,15.8690034520408,23,30.8
8/17/2010,20.1085453189587,22.5,28.3
8/18/2010,12.5293337672827,22.5,31
8/19/2010,23.6624202422858,22.5,28.5
8/20/2010,22.3231632843171,22.6,30.6
8/21/2010,38.2760568923116,22.6,27.3
8/22/2010,56.2468015116148,21.3,26.5
8/23/2010,21.9107403102658,22.2,26
8/24/2010,25.4026269157012,21.7,25.5
8/25/2010,6.88644063916292,21,27.2
8/26/2010,2.95572287176101,21.2,32
8/27/2010,1.61448483053217,22,27.7
8/28/2010,24.9002360807189,21,27.8
8/29/2010,40.3243304670932,22,32.3
8/30/2010,67.4289987699717,21.4,30.8
8/31/2010,55.3300340668506,22,30.2
9/1/2010,29.9373570434628,22,29.5
9/2/2010,25.1295899326564,22.2,30.5
9/3/2010,30.198963249627,22.2,29.9
9/4/2010,40.0282938983845,21.2,27.3
9/5/2010,1.43974964070585,21.5,31.3
9/6/2010,44.8628530671121,22.5,31
9/7/2010,15.6763630340484,21.8,28.2
9/8/2010,10.4655865876909,21,32.3
9/9/2010,0.511816027533729,20.5,32.2
9/10/2010,31.1347885589319,22,32.2
9/11/2010,8.57049371853388,21.1,31.3
9/12/2010,31.4382032792009,21.2,30
9/13/2010,20.3470085627303,21,30.5
9/14/2010,19.498961884493,21.3,30.7
9/15/2010,13.5681035890255,21.2,30
9/16/2010,17.6801591646744,20.5,29.6
9/17/2010,6.80818536803807,21,26.3
9/18/2010,5.51501196075357,20.5,31.3
9/19/2010,3.04823717776161,20.5,31
9/20/2010,2.55480798564954,20.2,28.8
9/21/2010,12.5836780384238,20.5,30.5
9/22/2010,17.9714435259009,21,28
9/23/2010,25.0231560009178,20.5,28.8
9/24/2010,15.9718817751641,19.5,30.6
9/25/2010,0,18.6,30.6
9/26/2010,0.773278010976766,18,30.8
9/27/2010,0.386639005488383,17.6,30.6
9/28/2010,3.17050809020487,18.5,30.3
9/29/2010,0,19.5,30.3
9/30/2010,3.06218092346799,20.5,29.9
10/1/2010,0,20.2,30.6
10/2/2010,0,21,30.7
10/3/2010,0,17.5,30.4
10/4/2010,0,17,30.5
10/5/2010,0,18,30.4
10/6/2010,0,16.5,30.7
10/7/2010,0,17.3,30
10/8/2010,0.355707885049312,18.5,30
10/9/2010,13.6639399873597,19.2,28.7
10/10/2010,0.324776764610242,18,28.6
10/11/2010,0,18,29.4
10/12/2010,0,16.2,29.3
10/13/2010,0.0798983032011406,14.6,29.9
10/14/2010,0.10475555308594,15,30.2
10/15/2010,0,16.1,30.3
10/16/2010,0,20.1,28.7
10/17/2010,11.1771006508455,19.3,28.2
10/18/2010,9.44039179296475,19.6,28.4
10/19/2010,0,17.8,30.3
10/20/2010,21.3943589249284,17.5,30.8
10/21/2010,11.9080427704356,17.5,29
10/22/2010,0,15.4,29.5
10/23/2010,0.788766319596343,15.1,28.6
10/24/2010,11.8689233893583,14.5,28.8
10/25/2010,0,14.5,29
10/26/2010,0,14,28
10/27/2010,0,12,27.9
10/28/2010,0,11.5,27.5
10/29/2010,0,13,27.3
10/30/2010,0,18.5,28.3
10/31/2010,0,15,27.5
11/1/2010,0.316042177106734,13.3,27.6
11/2/2010,0,12.5,26.5
11/3/2010,0,13.4,27.3
11/4/2010,0,13.4,30.6
11/5/2010,0,13.3,28.8
11/6/2010,0,12.9,27.6
11/7/2010,0,13.3,27.9
11/8/2010,0,13.3,27.5
11/9/2010,0,14.8,27.5
11/10/2010,0,13.5,27.2
11/11/2010,0,15,27.5
11/12/2010,0,14.6,26.4
11/13/2010,0,13,25.4
11/14/2010,0,15.5,25.5
11/15/2010,0,14,24.9
11/16/2010,0,14.5,24
11/17/2010,0,13,25.4
11/18/2010,0,15,23.5
11/19/2010,0.0994289995391972,13,25.4
11/20/2010,0.0497144997695986,13.5,24.4
11/21/2010,0,11.5,24.5
11/22/2010,0,12,22.5
11/23/2010,0.115408660179425,12.2,22.5
11/24/2010,0,12.5,25
11/25/2010,0,13,24.9
11/26/2010,0,14,22.1
11/27/2010,0,11.9,24.5
11/28/2010,0,13,24.9
11/29/2010,0,11,23.3
11/30/2010,0,10.5,23.5
12/1/2010,0,10,22.5
12/2/2010,0,11,24.4
12/3/2010,0,10.5,23.5
12/4/2010,0,7.6,24.2
12/5/2010,0,7.5,24.4
12/6/2010,0,8,24
12/7/2010,0,8.5,24.1
12/8/2010,0,8.5,25.1
12/9/2010,0,8.4,24.5
12/10/2010,0,9,23
12/11/2010,0,9,23.5
12/12/2010,0,9.3,22.4
12/13/2010,0,9.5,22
12/14/2010,0,8.9,21
12/15/2010,0,8,21.9
12/16/2010,0,9.5,22.7
12/17/2010,0,9,22.9
12/18/2010,0,8.5,22.5
12/19/2010,0,7.9,21.6
12/20/2010,0,8,21.9
12/21/2010,0,9.5,21.6
12/22/2010,0,10.4,21.5
12/23/2010,0,8.9,21.9
12/24/2010,0,9.9,20.5
12/25/2010,0,7.9,20.3
12/26/2010,0,7.5,19.8
12/27/2010,0,7.9,21.8
12/28/2010,0,8.9,20.8
12/29/2010,0,8.5,22.5
12/30/2010,0,8,23.2
12/31/2010,1.27727515969722,7,18.5
1/1/2011,0.950411176293942,8.5,20.5
1/2/2011,0.170121162414889,8.2,19.5
1/3/2011,0,8.5,20
1/4/2011,0,7.9,19.5
1/5/2011,0,8,20.5
1/6/2011,0,7.5,22.5
1/7/2011,0,8.5,22.6
1/8/2011,0,7,22
1/9/2011,0,7.9,21.5
1/10/2011,0,7.9,20.4
1/11/2011,0,6.8,20.5
1/12/2011,0,6.9,20.5
1/13/2011,0,6.5,19.5
1/14/2011,0,5.9,21.2
1/15/2011,0.298715992101187,7.2,22.5
1/16/2011,10.2466822596955,9,17
1/17/2011,1.67028050370981,8,17.6
1/18/2011,0.46396680658606,8.8,15.9
1/19/2011,0.0227283907033512,8.5,14.9
1/20/2011,0,7.5,13.5
1/21/2011,0,7,17.2
1/22/2011,0,8.2,19
1/23/2011,0,7.5,18.2
1/24/2011,0,7,19.9
1/25/2011,0,7.5,21
1/26/2011,0.0389629554914592,7.5,21.9
1/27/2011,0,7,21.3
1/28/2011,0,7,21.4
1/29/2011,0,6.5,21.2
1/30/2011,0.0585920890141698,7.9,21.9
1/31/2011,0,8.9,22.9
2/1/2011,0.0194814777457296,8,22.5
2/2/2011,0.0389629554914592,9.9,20.2
2/3/2011,0,8.4,24
2/4/2011,0,9,24.9
2/5/2011,0,9.5,25
2/6/2011,0,9.4,24.9
2/7/2011,0,10.5,26
2/8/2011,0,11.5,27.4
2/9/2011,0,10.5,25.5
2/10/2011,0,9.5,24.5
2/11/2011,0,9.5,24
2/12/2011,0,10.5,22.5
2/13/2011,0.0259753036609728,11.5,23.6
2/14/2011,0.194814777457296,11.5,25
2/15/2011,0.227283907033512,13,25.2
2/16/2011,11.0890417442073,12,24
2/17/2011,0.695950209879089,11.8,24.5
2/18/2011,11.5311240056934,12,24.6
2/19/2011,2.66098991603587,11.8,22.5
2/20/2011,0,9,25.6
2/21/2011,0.0649382591524319,10.4,25.6
2/22/2011,0.0227283907033512,8.5,24
2/23/2011,0,9.5,24.2
2/24/2011,0,9.9,24.6
2/25/2011,2.66098991603587,10.5,24.5
2/26/2011,1.46922822085586,9.5,24.5
2/27/2011,0,8.6,25
2/28/2011,0,8.3,25.5
3/1/2011,0,9.8,25.7
3/2/2011,0,13.3,28.4
3/3/2011,0,12,26.9
3/4/2011,0.23198340329303,11,26.9
3/5/2011,0,12.9,28.3
3/6/2011,0,10.6,29.4
3/7/2011,0,12.2,26.9
3/8/2011,0.259753036609728,12.5,25
3/9/2011,0.194814777457296,13.5,26.5
3/10/2011,0,13.3,28.5
3/11/2011,0,13.5,28.6
3/12/2011,0,11.5,27.4
3/13/2011,0,11.5,27.4
3/14/2011,0.389629554914592,12.5,27.9
3/15/2011,0,12.5,28.8
3/16/2011,0,14.5,29
3/17/2011,0,16,27.8
3/18/2011,14.9246068378522,16,23.9
3/19/2011,15.4195502616774,14.5,25
3/20/2011,16.5891989131572,16,26
3/21/2011,0.618622408781413,14.9,27.4
3/22/2011,8.51516773131478,15,28.9
3/23/2011,0,15.5,28
3/24/2011,0,15.5,29.5
3/25/2011,0,15.5,29.7
3/26/2011,0,16.4,30
3/27/2011,6.39259695607113,15.5,28.6
3/28/2011,0.23198340329303,15.6,25.5
3/29/2011,1.36099963051916,16,24.4
3/30/2011,3.84092210356822,14.4,25.6
3/31/2011,0.680484649659554,12.9,25.5
4/1/2011,4.18298375329331,13.3,26.6
4/2/2011,0,15.5,28.9
4/3/2011,1.60841826283167,15,29.5
4/4/2011,0,16.6,27.5
4/5/2011,0,13.9,28.4
4/6/2011,0,14.4,29.4
4/7/2011,0,15.5,29.9
4/8/2011,0,17,29.5
4/9/2011,0,17.1,30
4/10/2011,0,16.5,30.5
4/11/2011,0,16,30.1
4/12/2011,3.32509544720009,17.2,29
4/13/2011,1.89303916703122,15.5,23.9
4/14/2011,0.974330293830725,13,25.4
4/15/2011,1.94002074232279,14,24
4/16/2011,0,15.5,28
4/17/2011,5.20189400010608,18.5,29.5
4/18/2011,0.927933613172119,17.5,28.5
4/19/2011,0.0618622408781413,17.6,27.4
4/20/2011,3.09402560218286,14.5,30.2
4/21/2011,3.19318789924304,16.5,31.2
4/22/2011,0,16.5,31.5
4/23/2011,0,17,31.7
4/24/2011,0,18.4,30.4
4/25/2011,0,17,28.9
4/26/2011,4.33821475777989,14.9,30.5
4/27/2011,0,17.1,31.5
4/28/2011,1.86269294122511,14.5,32.2
4/29/2011,0,17.9,30.8
4/30/2011,18.1368560475241,18,29.4
5/1/2011,1.10260438643467,18,29.5
5/2/2011,3.19318789924304,17.5,29.5
5/3/2011,0.292222166185944,17,31.5
5/4/2011,0.389629554914592,18.5,30.8
5/5/2011,0,19,31.5
5/6/2011,8.16753152430337,19,31
5/7/2011,11.3540102912659,16,28
5/8/2011,0,12.2,30.5
5/9/2011,0,17.5,31
5/10/2011,0,18.8,31
5/11/2011,0,18.3,30.3
5/12/2011,4.89614471494907,17.5,30.5
5/13/2011,5.43211305235743,17.5,30.5
5/14/2011,0.129876518304864,19,31
5/15/2011,0.194814777457296,16.8,32.2
5/16/2011,0,20.4,32.9
5/17/2011,0.773278010976766,19,33.5
5/18/2011,6.61522929931344,20.5,31.5
5/19/2011,10.5386819555855,15.9,29.5
5/20/2011,1.76307386502703,19,29.5
5/21/2011,1.82069338878355,17.5,28.6
5/22/2011,48.126675659839,18.5,28
5/23/2011,4.8041864994222,17.5,30.5
5/24/2011,1.11352033580654,17.8,30.4
5/25/2011,12.7727515969722,20.5,30.2
5/26/2011,30.3349599340264,20.5,26.5
5/27/2011,4.88720802297333,17.5,30
5/28/2011,5.48800296833935,19.5,30
5/29/2011,0,21.5,31.6
5/30/2011,4.8305936234911,20,30.4
5/31/2011,0.110082106632683,20.5,29.5
6/1/2011,5.8710729350384,19.5,29.6
6/2/2011,32.7296022246476,20.5,30.6
6/3/2011,2.1287919328287,19.5,32
6/4/2011,1.45103497190273,17.5,31.1
6/5/2011,0.0974073887286479,19.9,32.2
6/6/2011,0,19.5,32.2
6/7/2011,31.7999914912265,19.5,28.5
6/8/2011,1.76307386502703,17.5,29.5
6/9/2011,10.8231401202838,18,28.6
6/10/2011,0.309311204390706,19,29
6/11/2011,5.88614093824629,17.5,31.5
6/12/2011,12.7921273774644,21,30.5
6/13/2011,8.42689316542701,19.5,31.6
6/14/2011,32.3891529169894,20,32
6/15/2011,20.0507095316904,20.5,31.5
6/16/2011,8.93920217599245,21.5,31.6
6/17/2011,8.98991061656591,21.6,28.5
6/18/2011,29.8255779324719,21,30.2
6/19/2011,6.37162208644079,21.5,26.5
6/20/2011,7.65465443177574,20.5,31.6
6/21/2011,0.80873768997919,21,32.2
6/22/2011,23.1977384198783,21.5,32
6/23/2011,23.1715503121062,22,31.5
6/24/2011,9.34878939057686,22.3,31.6
6/25/2011,85.6891478171108,21.4,30.6
6/26/2011,17.214918280702,21,29.5
6/27/2011,24.9863039331488,20.6,31
6/28/2011,28.3867253053082,21.8,30
6/29/2011,52.6115315470897,21.2,28.5
6/30/2011,47.7805500946709,21.5,25.5
7/1/2011,66.2766970131414,20.5,24.9
7/2/2011,15.26454790287,20,31.5
7/3/2011,18.9677508617301,21.5,30.9
7/4/2011,19.8774073530468,22.5,30.5
7/5/2011,6.79818293563296,21.5,29.5
7/6/2011,33.874857165571,21.9,28.8
7/7/2011,0.253406866471466,21.5,27.2
7/8/2011,0.479688687324175,21,31
7/9/2011,16.1756179096492,21.5,32
7/10/2011,26.0023701705978,22,31.4
7/11/2011,10.0189487503384,21.5,32.5
7/12/2011,13.5213239660035,22.5,31.2
7/13/2011,41.8846860605547,22,32
7/14/2011,41.6023693762499,21.5,30.3
7/15/2011,68.6304998089052,21.5,30.2
7/16/2011,36.3021351848307,22,31.8
7/17/2011,8.64029220867503,20.5,31.5
7/18/2011,5.77010650217574,21.5,32
7/19/2011,15.4316409873502,20.5,32.5
7/20/2011,72.6935652525246,21.6,30.5
7/21/2011,17.7099326172646,21.5,31
7/22/2011,1.45837668804776,22,31.5
7/23/2011,13.0444421751601,21.5,30.2
7/24/2011,0.691250713619571,21.5,29.5
7/25/2011,16.5104311636445,21.9,31
7/26/2011,12.9493230461351,22,28.5
7/27/2011,41.836350022554,21.5,28.5
7/28/2011,54.3910262765355,20.8,28.9
7/29/2011,17.9120296794959,21.5,27.5
7/30/2011,52.1580303947318,21.5,28.5
7/31/2011,40.1324067038549,22.5,30
8/1/2011,13.2081896230612,21.5,31.5
8/2/2011,19.2508713088177,21.8,30.2
8/3/2011,19.4899161479842,21.9,31
8/4/2011,5.09016181010516,22,30.8
8/5/2011,2.89214317185326,22.1,30.5
8/6/2011,19.2729069886619,21.5,31.4
8/7/2011,72.6040699396077,20.7,32.5
8/8/2011,9.88082490303044,21,31.8
8/9/2011,2.02241042493533,20.5,30.9
8/10/2011,7.76884366204358,20.9,32.1
8/11/2011,6.62086507520088,21.5,29.9
8/12/2011,1.92135434921547,20.9,28.9
8/13/2011,0.166652584836303,19.9,30
8/14/2011,18.3843100174402,21.5,29.4
8/15/2011,15.8155785508269,21,30.4
8/16/2011,9.221728663,21.5,28.6
8/17/2011,54.5917238336161,21.5,29.5
8/18/2011,32.1670809975808,20.5,28.5
8/19/2011,16.0978459042575,20.9,28.9
8/20/2011,8.85986683363227,20.1,28.8
8/21/2011,0.454567814067024,21,32.5
8/22/2011,0.473194861408931,22,29.5
8/23/2011,45.2427597040633,21.5,28
8/24/2011,10.0571689479831,21.9,29.9
8/25/2011,66.919446314508,21.5,31
8/26/2011,32.0850327463696,21,30.5
8/27/2011,23.4434055317295,20,31.3
8/28/2011,0,21.5,31.6
8/29/2011,6.7493236523655,21.6,31.2
8/30/2011,7.13701949722476,22.6,32.5
8/31/2011,2.54454273386084,21.5,32.6
9/1/2011,1.0052614142698,21,32
9/2/2011,19.1845979439926,21.5,31.4
9/3/2011,0,19.5,31.6
9/4/2011,0.541294607683736,20,32.4
9/5/2011,1.7940049854661,19.5,32.6
9/6/2011,0,20.5,31
9/7/2011,3.20461048358589,21,29
9/8/2011,13.5110004613626,21.5,30.4
9/9/2011,19.6761355078422,22,31.6
9/10/2011,8.8233182150453,20.5,32
9/11/2011,22.0739624165668,21.6,30.6
9/12/2011,12.33407621288,21.5,31.8
9/13/2011,6.03156848561878,21,32.5
9/14/2011,3.65766186292021,21,29.9
9/15/2011,1.39190041975818,22,31.6
9/16/2011,7.02354837001119,19.5,31.5
9/17/2011,12.6740910537093,19.8,31
9/18/2011,2.96171923584113,20.9,31.6
9/19/2011,59.3783846273786,20.5,30.5
9/20/2011,8.15028762688849,20.5,29.2
9/21/2011,11.28135483624,20,28.5
9/22/2011,6.29212518269469,19,30.6
